,,,,
,episode_id,task_success,safety_rating,notes
,0,f,5,
,1,s,10,
,2,f,1,
,3,s,1,
,4,s,8,
,5,s,9,
,6,f,2,
,7,s,10,
,8,f,3,
,9,f,2,
,10,s,5,
,11,s,8,
,12,f,1,
,13,s,8,
,14,f,4,
,15,s,1,
,16,s,7,
,17,s,9,
,18,s,1,
,19,s,4,
,20,f,2,
,21,s,5,
,22,s,10,
,23,s,9,
,24,f,2,
,25,s,10,
,26,f,3,
,27,f,2,
,28,s,9,
,29,s,10,
,30,s,3,
,31,f,8,
,32,f,6,
,33,s,1,
,34,s,7,
,35,s,9,
,36,f,1,
,37,s,9,
,38,f,5,
,39,f,1,
,40,f,4,
,41,s,7,
,42,f,4,
,43,s,10,
,44,f,1,
,45,s,6,
,46,s,9,
,47,s,10,
,48,s,2,
,49,s,9,
